search_id,database,query_family,search_date,cutoff_start,cutoff_end,exact_query,fields_searched,language_filter,document_type_filter,records_returned,export_filename,notes
SRCH_001,ACM_DL,Q-G,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND (graph OR "graph neural network" OR GNN OR GCN OR GAT OR hypergraph OR heterogeneous OR "dynamic graph" OR "temporal graph" OR prerequisite OR "concept map" OR "skill graph" OR "knowledge graph" OR "concept graph" OR "knowledge structure"),Title/Abstract/Keywords,English,Journal/Conference,142,acm_qg_20260826.csv,Core Graph-KT search in ACM DL
SRCH_002,ACM_DL,Q-S,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND ("self-supervised" OR "self supervised" OR contrastive OR "masked modeling" OR "masked prediction" OR "masked interaction" OR reconstruction OR "pretext task"),Title/Abstract/Keywords,English,Journal/Conference,58,acm_qs_20260826.csv,Core SSL-KT search in ACM DL
SRCH_003,IEEE_Xplore,Q-G,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND (graph OR "graph neural network" OR GNN OR GCN OR GAT OR hypergraph OR heterogeneous OR "dynamic graph" OR "temporal graph" OR prerequisite OR "concept map" OR "skill graph" OR "knowledge graph"),Title/Abstract,English,Journal/Conference,168,ieee_qg_20260826.csv,Core Graph-KT search in IEEE Xplore
SRCH_004,IEEE_Xplore,Q-S,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND ("self-supervised" OR contrastive OR "masked modeling" OR "masked prediction" OR reconstruction),Title/Abstract,English,Journal/Conference,64,ieee_qs_20260826.csv,Core SSL-KT search in IEEE Xplore
SRCH_005,ScienceDirect,Q-G,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND (graph OR "graph neural network" OR GNN OR GCN OR GAT OR hypergraph OR heterogeneous),Title/Abstract/Keywords,English,Journal,185,sciencedirect_qg_20260826.csv,Core Graph-KT search in ScienceDirect
SRCH_006,ScienceDirect,Q-S,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND ("self-supervised" OR contrastive OR "masked modeling" OR "pretext task"),Title/Abstract/Keywords,English,Journal,72,sciencedirect_qs_20260826.csv,Core SSL-KT search in ScienceDirect
SRCH_007,SpringerLink,Q-G,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND (graph OR "graph neural network" OR GNN OR GCN OR GAT OR hypergraph),Title/Abstract,English,Journal/Conference,194,springer_qg_20260826.csv,Core Graph-KT search in SpringerLink
SRCH_008,SpringerLink,Q-S,2026-08-26,2015-01-01,2026-07-31,("knowledge tracing" OR "student knowledge tracing") AND ("self-supervised" OR contrastive OR "masked modeling"),Title/Abstract,English,Journal/Conference,61,springer_qs_20260826.csv,Core SSL-KT search in SpringerLink
SRCH_009,Scopus,Q-G,2026-08-26,2015-01-01,2026-07-31,TITLE-ABS-KEY(("knowledge tracing" OR "student knowledge tracing") AND (graph OR "graph neural network" OR GNN OR GCN OR GAT OR hypergraph OR heterogeneous OR "dynamic graph")),Title/Abstract/Keywords,English,Journal/Conference,286,scopus_qg_20260826.csv,Core Graph-KT search in Scopus
SRCH_010,Scopus,Q-S,2026-08-26,2015-01-01,2026-07-31,TITLE-ABS-KEY(("knowledge tracing" OR "student knowledge tracing") AND ("self-supervised" OR contrastive OR "masked modeling" OR "pretext task")),Title/Abstract/Keywords,English,Journal/Conference,112,scopus_qs_20260826.csv,Core SSL-KT search in Scopus
SRCH_011,WebOfScience,Q-G,2026-08-26,2015-01-01,2026-07-31,TS=(("knowledge tracing" OR "student knowledge tracing") AND (graph OR "graph neural network" OR GNN OR GCN OR GAT OR hypergraph OR heterogeneous)),Title/Abstract/Keywords,English,Journal/Conference,248,wos_qg_20260826.csv,Core Graph-KT search in Web of Science
SRCH_012,WebOfScience,Q-S,2026-08-26,2015-01-01,2026-07-31,TS=(("knowledge tracing" OR "student knowledge tracing") AND ("self-supervised" OR contrastive OR "masked modeling")),Title/Abstract/Keywords,English,Journal/Conference,96,wos_qs_20260826.csv,Core SSL-KT search in Web of Science
SRCH_013,arXiv,Q-G,2026-08-26,2015-01-01,2026-07-31,ti:("knowledge tracing" OR "student knowledge tracing") OR abs:("knowledge tracing" AND (graph OR GNN OR GCN OR GAT)),Title/Abstract,English,Preprint,135,arxiv_qg_20260826.csv,Core Graph-KT search in arXiv cs.AI/cs.LG
SRCH_014,arXiv,Q-S,2026-08-26,2015-01-01,2026-07-31,ti:("knowledge tracing" OR "student knowledge tracing") OR abs:("knowledge tracing" AND ("self-supervised" OR contrastive)),Title/Abstract,English,Preprint,63,arxiv_qs_20260826.csv,Core SSL-KT search in arXiv cs.AI/cs.LG
SRCH_015,Scopus,Q-P,2026-08-26,2015-01-01,2026-07-31,TITLE-ABS-KEY(("knowledge tracing") AND (sparse OR sparsity OR "cold start" OR "few shot" OR unseen) AND (concept OR skill OR item)),Title/Abstract/Keywords,English,Journal/Conference,88,scopus_qp_20260826.csv,Supplementary sparse lens search in Scopus
SRCH_016,Scopus,Q-R,2026-08-26,2015-01-01,2026-07-31,TITLE-ABS-KEY(("knowledge tracing") AND (calibration OR reproducibility OR leakage OR "temporal split" OR "learner split")),Title/Abstract/Keywords,English,Journal/Conference,45,scopus_qr_20260826.csv,Supplementary reliability lens search in Scopus
