CiteKey,EntryType,Author,Title,Venue,Year,Volume,Issue,Pages,DOI,Status,Notes
KT004_GKT_2019,inproceedings,"Hiromi Nakagawa and Yusuke Iwasawa and Yutaka Matsuo","Graph-Based Knowledge Tracing: Modeling Student Proficiency Using Graph Neural Networks","Proceedings of the IEEE/WIC/ACM International Conference on Web Intelligence (WI)",2019,,,156--163,10.1145/3350546.3352513,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT010_GIKT_2021,inproceedings,"Yang Yang and Jian Shen and Yanru Qu and Yunfei Liu and Kerong Wang and Yaoming Zhu and Weinan Zhang and Yong Yu","GIKT: A Graph-Based Interaction Model for Knowledge Tracing","Proceedings of the European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML-PKDD)",2021,,,299--315,10.1007/978-3-030-67658-2_18,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT011_BiCLKT_2022,article,"Xiangyu Song and Jianxin Li and Qiuyu Lei and Wei Zhao and Yunliang Chen and Ajmal Saeed Mian","Bi-CLKT: Bi-Graph Contrastive Learning Based Knowledge Tracing","Knowledge-Based Systems",2022,241,,108274,10.1016/j.knosys.2022.108274,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT012_JKT_2021,article,"Xiangyu Song and Jianxin Li and Yilun Tang and Tao Zhao and Yilong Chen and Zhiyong Guan","JKT: A Joint Graph Convolutional Network Based Deep Knowledge Tracing","Information Sciences",2021,580,,510--523,10.1016/j.ins.2021.08.100,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT014_PDKTC_2018,inproceedings,"Penghe Chen and Yu Lu and Vincent Wenchen Zheng and Yang Pian","Prerequisite-Driven Deep Knowledge Tracing","Proceedings of the IEEE International Conference on Data Mining (ICDM)",2018,,,39--48,10.1109/ICDM.2018.00019,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT016_SKT_2020,inproceedings,"Shiwei Tong and Qi Liu and Wei Huang and Zhenya Huang and Enhong Chen and Chuanren Liu and Haiping Ma and Shijin Wang","Structure-Based Knowledge Tracing: An Influence Propagation View","Proceedings of the IEEE International Conference on Data Mining (ICDM)",2020,,,541--550,10.1109/ICDM50108.2020.00063,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT023_SGKT_2022,article,"Zhengyang Wu and Li Huang and Qionghao Huang and Changqin Huang and Yong Tang","SGKT: Session Graph-Based Knowledge Tracing for Student Performance Prediction","Expert Systems with Applications",2022,206,,117681,10.1016/j.eswa.2022.117681,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT026_PretrainQ_2020,inproceedings,"Yunfei Liu and Yang Yang and Xianyu Chen and Jian Shen and Haifeng Zhang and Yong Yu","Improving Knowledge Tracing via Pre-training Question Embeddings","Proceedings of the International Joint Conference on Artificial Intelligence (IJCAI)",2020,,,1577--1583,10.24963/ijcai.2020/216,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT029_DGEKT_2024,article,"Chaoran Cui and Yumo Yao and Chunyun Zhang and Hebo Ma and Yuling Ma and Zhaochun Ren and Chen Zhang and James Ko","DGEKT: A Dual Graph Ensemble Learning Method for Knowledge Tracing","ACM Transactions on Information Systems",2024,42,3,78:1--78:25,10.1145/3638350,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT031_KSGAKT_2022,article,"Wenbin Gan and Yuan Sun and Yi Sun","Knowledge Structure Enhanced Graph Representation Learning Model for Attentive Knowledge Tracing","International Journal of Intelligent Systems",2022,37,3,2012--2045,10.1002/int.22763,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT033_DGMN_2023,article,"Ghodai Abdelrahman and Qing Wang","Deep Graph Memory Networks for Forgetting-Robust Knowledge Tracing","IEEE Transactions on Knowledge and Data Engineering",2023,35,8,7844--7855,10.1109/TKDE.2022.3206447,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT035_HHSKT_2023,article,"Qin Ni and Tingjiang Wei and Jiabao Zhao and Liang He and Chanjin Zheng","HHSKT: A Learner--Question Interactions Based Heterogeneous Graph Neural Network Model for Knowledge Tracing","Expert Systems with Applications",2023,215,,119334,10.1016/j.eswa.2023.119334,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT036_TSKT_2024,article,"Hua Yang and Shengze Hu and Jing Geng and Tao Huang and Junjie Hu and Hao Zhang and Qiang Zhu","Heterogeneous Graph-Based Knowledge Tracing with Spatiotemporal Evolution","Expert Systems with Applications",2024,238,,122249,10.1016/j.eswa.2023.122249,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
