record_id,title,authors,year,venue,doi,final_tier,primary_exclusion_code,secondary_notes,reviewer_id,completeness_level
REC_0001,GKT: Graph-Based Knowledge Tracing,Nakagawa et al.,2019,WI,10.1145/3350546.3352513,PRIMARY_CORE,NA,Satisfies G-criterion (GKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0002,GIKT: Graph-Based Interaction Knowledge Tracing,Yang et al.,2021,ECML-PKDD,10.1007/978-3-030-67658-2_9,PRIMARY_CORE,NA,Satisfies G-criterion (GIKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0003,Bi-CLKT: Bi-Directional Contrastive Knowledge Tracing,Song et al.,2022,KBS,10.1016/j.knosys.2022.109154,PRIMARY_CORE,NA,Satisfies G-criterion and S-criterion,AI_ASSISTANT,FULLTEXT_CODED
REC_0004,JKT: Joint Graph Convolutional Network KT,Song et al.,2021,InfoSci,10.1016/j.ins.2021.08.100,PRIMARY_CORE,NA,Satisfies G-criterion (JKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0005,PDKT-C: Prerequisite-Driven Knowledge Tracing,Chen et al.,2018,ICDM,10.1109/ICDM.2018.00021,PRIMARY_CORE,NA,Satisfies G-criterion (PDKT-C),AI_ASSISTANT,FULLTEXT_CODED
REC_0006,SKT: Structure-Based Knowledge Tracing,Tong et al.,2020,ICDM,10.1109/ICDM50108.2020.00063,PRIMARY_CORE,NA,Satisfies G-criterion (SKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0007,SGKT: Session Graph-Based Knowledge Tracing,Wu et al.,2022,ESWA,10.1016/j.eswa.2022.117681,PRIMARY_CORE,NA,Satisfies G-criterion (SGKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0008,Pre-training Question Embeddings for KT,Liu et al.,2020,IJCAI,10.24963/ijcai.2020/218,PRIMARY_CORE,NA,Satisfies G-criterion and S-criterion,AI_ASSISTANT,FULLTEXT_CODED
REC_0009,DGEKT: Dual Graph Ensemble Learning for KT,Cui et al.,2024,ACM TOIS,10.1145/3635303,PRIMARY_CORE,NA,Satisfies G-criterion (DGEKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0010,KSG-AKT: Knowledge Structure Enhanced GNN KT,Gan et al.,2022,IJIS,10.1002/int.22763,PRIMARY_CORE,NA,Satisfies G-criterion (KSG-AKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0011,DGMN: Deep Graph Memory Networks for KT,Abdelrahman et al.,2023,IEEE TKDE,10.1109/TKDE.2022.3206447,PRIMARY_CORE,NA,Satisfies G-criterion (DGMN),AI_ASSISTANT,FULLTEXT_CODED
REC_0012,HHSKT: Hierarchical Heterogeneous Structure KT,Wang et al.,2023,ESWA,10.1016/j.eswa.2022.119293,PRIMARY_CORE,NA,Satisfies G-criterion (HHSKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0013,TSKT: Heterogeneous Graph Spatiotemporal KT,Yang et al.,2024,ESWA,10.1016/j.eswa.2023.122249,PRIMARY_CORE,NA,Satisfies G-criterion (TSKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0014,CMKT: Concept Map Enhanced Knowledge Tracing,Li et al.,2022,IEEE TLT,10.1109/TLT.2022.3201488,PRIMARY_CORE,NA,Satisfies G-criterion (CMKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0015,DyGKT: Dynamic Graph Knowledge Tracing,Zhang et al.,2024,KDD,10.1145/3637528.3671912,PRIMARY_CORE,NA,Satisfies G-criterion (DyGKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0016,CL4KT: Contrastive Learning for Knowledge Tracing,Lee et al.,2022,WWW,10.1145/3485447.3512105,PRIMARY_CORE,NA,Satisfies G-criterion and S-criterion,AI_ASSISTANT,FULLTEXT_CODED
REC_0017,S2-HHN: Self-Supervised Heterogeneous Hypergraph KT,Wu et al.,2023,InfoSci,10.1016/j.ins.2022.12.075,PRIMARY_CORE,NA,Satisfies G-criterion and S-criterion,AI_ASSISTANT,FULLTEXT_CODED
REC_0018,3V-CLKT: Three-View Contrastive Learning KT,Sun et al.,2024,IEEE TCE,10.1109/TCE.2023.3293953,PRIMARY_CORE,NA,Satisfies G-criterion and S-criterion,AI_ASSISTANT,FULLTEXT_CODED
REC_0019,SINKT: Structure-Aware Inductive KT with LLM,Fu et al.,2024,CIKM,10.1145/3627673.3679760,PRIMARY_CORE,NA,Satisfies G-criterion (SINKT),AI_ASSISTANT,FULLTEXT_CODED
REC_0020,DC-SSL: Dual-Channel SSL Heterogeneous Graph KT,Wu et al.,2023,ESWA,10.1016/j.eswa.2023.120212,PRIMARY_CORE,NA,Satisfies G-criterion and S-criterion,AI_ASSISTANT,FULLTEXT_CODED
REC_0021,GraphCA: Graph Counterfactual Augmentation KT,Wang et al.,2023,IEEE/CAA JAS,10.1109/JAS.2023.123678,PRIMARY_CORE,NA,Satisfies G-criterion and S-criterion,AI_ASSISTANT,FULLTEXT_CODED
