paper_id,model_id,QA1_task_clarity,QA2_data_transparency,QA3_split_control,QA4_baseline_adequacy,QA5_statistical_rigor,QA6_author_artifacts,QA7_sparse_construct,QA8_computational_reporting,raw_score,applicable_max,normalized_score,quality_tier
KT004,MODEL_KT004_GKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT010,MODEL_KT010_GIKT,2,2,1,2,1,1,0,1,11,16,0.6875,MODERATE
KT011,MODEL_KT011_BiCLKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT012,MODEL_KT012_JKT,2,2,1,2,1,1,0,1,11,16,0.6875,MODERATE
KT014,MODEL_KT014_PDKTC,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT016,MODEL_KT016_SKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT023,MODEL_KT023_SGKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT026,MODEL_KT026_PretrainQ,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT029,MODEL_KT029_DGEKT,2,2,2,2,1,2,0,2,13,16,0.8125,HIGH
KT031,MODEL_KT031_KSGAKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT033,MODEL_KT033_DGMN,2,2,2,2,1,2,0,2,13,16,0.8125,HIGH
KT035,MODEL_KT035_HHSKT,2,2,2,2,1,1,2,1,13,16,0.8125,HIGH
KT036,MODEL_KT036_TSKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT037,MODEL_KT037_CMKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT038,MODEL_KT038_DyGKT,2,2,2,2,1,3,0,2,14,16,0.8750,HIGH
KT039,MODEL_KT039_CL4KT,2,2,2,2,1,2,0,1,12,16,0.7500,MODERATE
KT042,MODEL_KT042_S2HHN,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT043,MODEL_KT043_3VCLKT,2,2,1,2,1,1,0,2,11,16,0.6875,MODERATE
KT044,MODEL_KT044_SINKT,2,2,2,2,1,2,2,1,14,16,0.8750,HIGH
KT047,MODEL_KT047_DCSSL,2,2,1,2,1,1,0,2,11,16,0.6875,MODERATE
KT050,MODEL_KT050_GraphCA,2,2,2,2,1,2,0,2,13,16,0.8125,HIGH
KT052,MODEL_KT052_CapsuleGNN,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT053,MODEL_KT053_GASKT,2,2,1,2,1,1,0,2,11,16,0.6875,MODERATE
KT056,MODEL_KT056_LSTGraph,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT060,MODEL_KT060_STHKT,2,2,2,2,1,2,0,2,13,16,0.8125,HIGH
KT062,MODEL_KT062_LGSKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT063,MODEL_KT063_MAHKT,2,2,1,2,1,1,0,2,11,16,0.6875,MODERATE
KT064,MODEL_KT064_MGEnsemble,2,2,2,2,1,2,0,2,13,16,0.8125,HIGH
KT065,MODEL_KT065_CSGKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT066,MODEL_KT066_HyperKT,2,2,2,2,1,3,0,2,14,16,0.8750,HIGH
KT067,MODEL_KT067_SKMGKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT068,MODEL_KT068_HKT,2,2,2,2,1,1,0,2,12,16,0.7500,MODERATE
KT069,MODEL_KT069_AEGOTCDKT,2,2,2,2,1,1,0,2,13,16,0.8125,HIGH
KT070,MODEL_KT070_Coda,2,2,2,2,1,2,0,2,14,16,0.8750,HIGH
KT076,MODEL_KT076_KGNNKT,2,2,2,2,1,1,0,2,13,16,0.8125,HIGH
KT077,MODEL_KT077_R2GCurL,2,2,2,2,1,2,0,2,14,16,0.8750,HIGH
KT078,MODEL_KT078_CMGKT,2,2,1,2,1,2,0,1,12,16,0.7500,MODERATE
KT079,MODEL_KT079_STGSKT,2,2,2,2,1,1,0,2,13,16,0.8125,HIGH
KT080,MODEL_KT080_DGRKT,2,2,2,2,1,2,0,2,14,16,0.8750,HIGH
KT081,MODEL_KT081_HyperHKT,2,2,2,2,1,2,0,2,14,16,0.8750,HIGH
KT082,MODEL_KT082_GMGAE,2,2,2,2,1,2,0,2,14,16,0.8750,HIGH
KT083,MODEL_KT083_DVHGCL,2,2,2,2,1,2,0,2,14,16,0.8750,HIGH
