paper_id,model_entry,venue_year,graph_source,graph_provenance,graph_representation,directed,typed_edges,gnn_encoder,temporal_backbone,fusion_type,evidence_status
KT004_Dense,GKT (Dense),WI 2019,SEQUENTIAL_TRANSITION,MODEL_DEFINED_FIXED,KC_KC,YES,NO,GNN_GENERIC,RNN_LSTM_GRU,CONCATENATION,FULLTEXT_CODED
KT004_Trans,GKT (Transition),WI 2019,SEQUENTIAL_TRANSITION,MODEL_DEFINED_FIXED,KC_KC,YES,NO,GNN_GENERIC,RNN_LSTM_GRU,CONCATENATION,FULLTEXT_CODED
KT010,GIKT,ECML-PKDD 2021,Q_MATRIX_DERIVED,MODEL_DEFINED_FIXED,EXERCISE_KC_BIPARTITE,NO,NO,GAT,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT011,Bi-CLKT,KBS 2022,COOCCURRENCE_SIMILARITY,MODEL_DEFINED_FIXED,DUAL_SUBGRAPH,NO,NO,GCN,SELF_ATTENTION,GNN_DIRECT_STATE,FULLTEXT_CODED
KT012,JKT,InfoSci 2021,Q_MATRIX_COOCCURRENCE,MODEL_DEFINED_FIXED,EXERCISE_KC_BIPARTITE,NO,NO,GCN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT014,PDKT-C,ICDM 2018,EXPERT_PREREQUISITE,EXTERNAL_FIXED,KC_KC,YES,NO,NONE,RNN_LSTM_GRU,REGULARIZATION_ONLY,FULLTEXT_CODED
KT016,SKT,ICDM 2020,COOCCURRENCE_INFLUENCE,MODEL_DEFINED_FIXED,KC_KC,YES,NO,GAT,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT023,SGKT,ESWA 2022,SESSION_GRAPH,MODEL_DEFINED_FIXED,INTERACTION_GRAPH,YES,NO,GGNN,RNN_LSTM_GRU,CONCATENATION,FULLTEXT_CODED
KT026,Pretrain Q-Emb,IJCAI 2020,Q_MATRIX_DERIVED,MODEL_DEFINED_FIXED,EXERCISE_KC_BIPARTITE,NO,NO,GCN,RNN_LSTM_GRU,GNN_DIRECT_STATE,FULLTEXT_CODED
KT029,DGEKT,TOIS 2024,DYNAMIC_COOCCURRENCE,DYNAMIC_LEARNED,KC_KC,YES,NO,GCN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT031,KSG-AKT,IJIS 2022,KNOWLEDGE_STRUCTURE,EXTERNAL_FIXED,KC_KC,YES,NO,GCN,SELF_ATTENTION,ATTENTIVE_FUSION,FULLTEXT_CODED
KT033,DGMN,IEEE TKDE 2023,DYNAMIC_INTERACTION,DYNAMIC_LEARNED,EXERCISE_KC_BIPARTITE,YES,YES,GRAPH_MEMORY,MEMORY_NETWORK,GNN_DIRECT_STATE,FULLTEXT_CODED
KT035,HHSKT,ESWA 2023,HETEROGENEOUS_SCHEMA,MODEL_DEFINED_FIXED,STUDENT_EXERCISE_KC,YES,YES,HETEROGENEOUS_GNN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT036,TSKT,ESWA 2024,TEXT_SEMANTICS,EXTERNAL_FIXED,EXERCISE_KC_BIPARTITE,NO,YES,HETEROGENEOUS_GNN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT037,CMKT,IEEE TLT 2022,CONCEPT_MAP,EXTERNAL_FIXED,KC_KC,YES,NO,NONE,RNN_LSTM_GRU,REGULARIZATION_ONLY,FULLTEXT_CODED
KT038,DyGKT,KDD 2024,DYNAMIC_INTERACTION,DYNAMIC_LEARNED,INTERACTION_GRAPH,YES,YES,DYNAMIC_GNN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT039,CL4KT,WWW 2022,NONE,NA,NONE,NO,NO,NONE,SELF_ATTENTION,NA,FULLTEXT_CODED
KT042,S2-HHN,InfoSci 2023,HYPERGRAPH_SCHEMA,MODEL_DEFINED_FIXED,STUDENT_EXERCISE_KC,NO,YES,HYPERGRAPH_GNN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT043,3V-CLKT,IEEE TCE 2024,THREE_VIEW_GRAPH,MODEL_DEFINED_FIXED,STUDENT_EXERCISE_KC,YES,YES,HETEROGENEOUS_GNN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT044,SINKT,CIKM 2024,LLM_SEMANTIC_GRAPH,EXTERNAL_FIXED,KC_KC,YES,NO,GCN,SELF_ATTENTION,ATTENTIVE_FUSION,FULLTEXT_CODED
KT047,DC-SSL,ESWA 2023,DUAL_CHANNEL_GRAPH,MODEL_DEFINED_FIXED,EXERCISE_KC_BIPARTITE,YES,YES,HETEROGENEOUS_GNN,SELF_ATTENTION,ATTENTIVE_FUSION,FULLTEXT_CODED
KT050,GraphCA,JAS 2023,CONTEXT_AWARE_GRAPH,MODEL_DEFINED_FIXED,EXERCISE_KC_BIPARTITE,YES,YES,HETEROGENEOUS_GNN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT052,Capsule GNN,Appl Intell 2022,CAPSULE_GRAPH,MODEL_DEFINED_FIXED,KC_KC,YES,NO,CAPSULE_GNN,RNN_LSTM_GRU,CONCATENATION,FULLTEXT_CODED
KT053,GASKT,KSEM 2021,Q_MATRIX_DERIVED,MODEL_DEFINED_FIXED,EXERCISE_KC_BIPARTITE,NO,NO,GCN,SELF_ATTENTION,ATTENTIVE_FUSION,FULLTEXT_CODED
KT056,LST-Graph,IP&M 2025,LONG_SHORT_GRAPH,DYNAMIC_LEARNED,KC_KC,YES,NO,GAT,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT060,STHKT,ESWA 2025,SPATIOTEMPORAL_HAWKES,DYNAMIC_LEARNED,INTERACTION_GRAPH,YES,YES,GCN,CONTINUOUS_HAWKES,GNN_DIRECT_STATE,FULLTEXT_CODED
KT062,LGS-KT,Neural Net 2025,LOGICAL_GRAMMATICAL,EXTERNAL_FIXED,KC_KC,YES,YES,GCN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT063,MAHKT,KBS 2025,MULTI_ASSOCIATION,MODEL_DEFINED_FIXED,STUDENT_EXERCISE_KC,YES,YES,HETEROGENEOUS_GNN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT064,MG-Ensemble,KBS 2025,MULTI_GRANULARITY,MODEL_DEFINED_FIXED,EXERCISE_KC_BIPARTITE,NO,NO,GCN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT065,CS-GKT,KBS 2025,CONCEPT_STRUCTURE,MODEL_DEFINED_FIXED,KC_KC,YES,NO,GCN,RNN_LSTM_GRU,ATTENTIVE_FUSION,FULLTEXT_CODED
KT066,HyperKT,IEEE TNNLS 2025,DUAL_HYPERGRAPH,MODEL_DEFINED_FIXED,STATE_HYPERGRAPH,NO,YES,HYPERGRAPH_GNN,SELF_ATTENTION,ATTENTIVE_FUSION,FULLTEXT_CODED
KT067,SKM-GKT,EAIT 2025,SKILL_MAP_GRAPH,EXTERNAL_FIXED,KC_KC,YES,NO,GCN,RNN_LSTM_GRU,CONCATENATION,FULLTEXT_CODED
