paper_id,model_name,venue_year,generic_data_sparsity,sparse_interaction_drop_eval,strict_kc_cold_start,item_cold_start,learner_cold_start,sparse_protocol_category
KT004,GKT,WI 2019,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT010,GIKT,ECML-PKDD 2021,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT011,Bi-CLKT,KBS 2022,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT012,JKT,InfoSci 2021,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT014,PDKT-C,ICDM 2018,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT016,SKT,ICDM 2020,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT023,SGKT,ESWA 2022,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT026,Pretrain Q-Emb,IJCAI 2020,YES,YES,NO,YES,NO,ITEM_COLD_START
KT029,DGEKT,TOIS 2024,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT031,KSG-AKT,IJIS 2022,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT033,DGMN,IEEE TKDE 2023,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT035,HHSKT,ESWA 2023,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT036,TSKT,ESWA 2024,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT037,CMKT,IEEE TLT 2022,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT038,DyGKT,KDD 2024,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT039,CL4KT,WWW 2022,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT042,S2-HHN,InfoSci 2023,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT043,3V-CLKT,IEEE TCE 2024,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT044,SINKT,CIKM 2024,YES,YES,YES,YES,NO,STRICT_KC_COLD_START
KT047,DC-SSL,ESWA 2023,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT050,GraphCA,JAS 2023,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT052,Capsule GNN,Appl Intell 2022,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT053,GASKT,KSEM 2021,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT056,LST-Graph,IP&M 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT060,STHKT,ESWA 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT062,LGS-KT,Neural Net 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT063,MAHKT,KBS 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT064,MG-Ensemble,KBS 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT065,CS-GKT,KBS 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT066,HyperKT,IEEE TNNLS 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT067,SKM-GKT,EAIT 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT068,HKT,IP&M 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT069,AEGOT-CDKT,WWW 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT070,Coda,KDD 2025,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT076,KGNN-KT,KBS 2025,YES,YES,NO,YES,NO,ITEM_COLD_START
KT077,R2GCurL,IEEE TKDE 2026,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
KT079,STG-SKT,DASFAA 2026,YES,YES,NO,NO,NO,SPARSE_INTERACTION_ONLY
